epoch,train_loss
1,0.018187
2,0.005842
3,0.004459
4,0.003874
5,0.003483
6,0.003220
7,0.003002
8,0.002852
9,0.002707
10,0.002604
11,0.002473
12,0.002367
13,0.002287
14,0.002183
15,0.002107
16,0.002036
17,0.001973
18,0.001907
19,0.001860
20,0.001807
21,0.001750
22,0.001715
23,0.001672
24,0.001625
25,0.001585
26,0.001560
27,0.001521
28,0.001485
29,0.001451
30,0.001423
31,0.001397
32,0.001362
33,0.001344
34,0.001315
35,0.001294
36,0.001277
37,0.001252
38,0.001221
39,0.001206
40,0.001185
41,0.001175
42,0.001164
43,0.001138
44,0.001123
45,0.001107
