epoch,phase,train_gen_loss,train_disc_loss,val_psnr_ae,val_ssim_ae,val_psnr_gan,val_ssim_gan
1,warmup,0.061854,0.000000,28.5111,0.9143,26.6875,0.8380
2,warmup,0.031527,0.000000,28.5111,0.9143,27.6106,0.8947
3,warmup,0.027571,0.000000,28.5111,0.9143,27.8809,0.9082
4,warmup,0.025723,0.000000,28.5111,0.9143,28.3579,0.9137
5,warmup,0.024785,0.000000,28.5111,0.9143,27.9565,0.9065
6,warmup,0.024213,0.000000,28.5111,0.9143,28.4489,0.9104
7,warmup,0.023649,0.000000,28.5111,0.9143,28.5146,0.9167
8,warmup,0.023270,0.000000,28.5111,0.9143,28.1256,0.9128
9,warmup,0.023176,0.000000,28.5111,0.9143,28.6857,0.9177
10,warmup,0.022540,0.000000,28.5111,0.9143,27.4485,0.9193
11,warmup,0.022260,0.000000,28.5111,0.9143,28.5412,0.9185
12,warmup,0.021860,0.000000,28.5111,0.9143,28.5480,0.9196
13,warmup,0.021812,0.000000,28.5111,0.9143,28.5691,0.9196
14,warmup,0.021631,0.000000,28.5111,0.9143,28.7599,0.9183
15,warmup,0.021456,0.000000,28.5111,0.9143,28.4197,0.9193
16,warmup,0.021139,0.000000,28.5111,0.9143,28.4252,0.9181
17,warmup,0.021095,0.000000,28.5111,0.9143,28.5279,0.9191
18,warmup,0.020630,0.000000,28.5111,0.9143,28.3955,0.9195
19,warmup,0.020833,0.000000,28.5111,0.9143,28.7649,0.9207
20,warmup,0.020548,0.000000,28.5111,0.9143,28.4778,0.9216
21,adversarial,0.021039,0.700527,28.5111,0.9143,28.8137,0.9212
22,adversarial,0.020744,0.696508,28.5111,0.9143,28.5283,0.9217
23,adversarial,0.020913,0.694790,28.5111,0.9143,28.8879,0.9210
24,adversarial,0.020706,0.694214,28.5111,0.9143,28.4977,0.9223
25,adversarial,0.020817,0.693836,28.5111,0.9143,28.6885,0.9220
26,adversarial,0.020738,0.693746,28.5111,0.9143,28.5728,0.9212
27,adversarial,0.020539,0.693618,28.5111,0.9143,28.6444,0.9222
28,adversarial,0.020353,0.693509,28.5111,0.9143,28.6349,0.9215
29,adversarial,0.020369,0.693540,28.5111,0.9143,28.8976,0.9225
30,adversarial,0.020178,0.693403,28.5111,0.9143,28.5469,0.9226
31,adversarial,0.020070,0.693449,28.5111,0.9143,28.9507,0.9223
32,adversarial,0.019971,0.693441,28.5111,0.9143,28.6446,0.9215
33,adversarial,0.019963,0.693424,28.5111,0.9143,28.8100,0.9222
34,adversarial,0.019846,0.693495,28.5111,0.9143,28.9310,0.9224
