nohup: ignoring input
Run 1 | Seed 42
Using device: cuda
Train: 22050 | Val: 2754 | Test: 2754
Loaded frozen autoencoder.
Epoch [001/100] [warmup] G: 0.061854 D: 0.000000 | Val PSNR AE: 28.51 GAN: 26.69 | Val SSIM AE: 0.9143 GAN: 0.8380
Epoch [002/100] [warmup] G: 0.031527 D: 0.000000 | Val PSNR AE: 28.51 GAN: 27.61 | Val SSIM AE: 0.9143 GAN: 0.8947
Epoch [003/100] [warmup] G: 0.027571 D: 0.000000 | Val PSNR AE: 28.51 GAN: 27.88 | Val SSIM AE: 0.9143 GAN: 0.9082
Epoch [004/100] [warmup] G: 0.025723 D: 0.000000 | Val PSNR AE: 28.51 GAN: 28.36 | Val SSIM AE: 0.9143 GAN: 0.9137
Epoch [005/100] [warmup] G: 0.024785 D: 0.000000 | Val PSNR AE: 28.51 GAN: 27.96 | Val SSIM AE: 0.9143 GAN: 0.9065
Epoch [006/100] [warmup] G: 0.024213 D: 0.000000 | Val PSNR AE: 28.51 GAN: 28.45 | Val SSIM AE: 0.9143 GAN: 0.9104
Epoch [007/100] [warmup] G: 0.023649 D: 0.000000 | Val PSNR AE: 28.51 GAN: 28.51 | Val SSIM AE: 0.9143 GAN: 0.9167
Epoch [008/100] [warmup] G: 0.023270 D: 0.000000 | Val PSNR AE: 28.51 GAN: 28.13 | Val SSIM AE: 0.9143 GAN: 0.9128
Epoch [009/100] [warmup] G: 0.023176 D: 0.000000 | Val PSNR AE: 28.51 GAN: 28.69 | Val SSIM AE: 0.9143 GAN: 0.9177
Epoch [010/100] [warmup] G: 0.022540 D: 0.000000 | Val PSNR AE: 28.51 GAN: 27.45 | Val SSIM AE: 0.9143 GAN: 0.9193
Epoch [011/100] [warmup] G: 0.022260 D: 0.000000 | Val PSNR AE: 28.51 GAN: 28.54 | Val SSIM AE: 0.9143 GAN: 0.9185
Epoch [012/100] [warmup] G: 0.021860 D: 0.000000 | Val PSNR AE: 28.51 GAN: 28.55 | Val SSIM AE: 0.9143 GAN: 0.9196
Epoch [013/100] [warmup] G: 0.021812 D: 0.000000 | Val PSNR AE: 28.51 GAN: 28.57 | Val SSIM AE: 0.9143 GAN: 0.9196
Epoch [014/100] [warmup] G: 0.021631 D: 0.000000 | Val PSNR AE: 28.51 GAN: 28.76 | Val SSIM AE: 0.9143 GAN: 0.9183
Epoch [015/100] [warmup] G: 0.021456 D: 0.000000 | Val PSNR AE: 28.51 GAN: 28.42 | Val SSIM AE: 0.9143 GAN: 0.9193
Epoch [016/100] [warmup] G: 0.021139 D: 0.000000 | Val PSNR AE: 28.51 GAN: 28.43 | Val SSIM AE: 0.9143 GAN: 0.9181
Epoch [017/100] [warmup] G: 0.021095 D: 0.000000 | Val PSNR AE: 28.51 GAN: 28.53 | Val SSIM AE: 0.9143 GAN: 0.9191
Epoch [018/100] [warmup] G: 0.020630 D: 0.000000 | Val PSNR AE: 28.51 GAN: 28.40 | Val SSIM AE: 0.9143 GAN: 0.9195
Epoch [019/100] [warmup] G: 0.020833 D: 0.000000 | Val PSNR AE: 28.51 GAN: 28.76 | Val SSIM AE: 0.9143 GAN: 0.9207
Epoch [020/100] [warmup] G: 0.020548 D: 0.000000 | Val PSNR AE: 28.51 GAN: 28.48 | Val SSIM AE: 0.9143 GAN: 0.9216
Epoch [021/100] [adversarial] G: 0.021039 D: 0.700527 | Val PSNR AE: 28.51 GAN: 28.81 | Val SSIM AE: 0.9143 GAN: 0.9212
